,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
0,NIFTY50 EQL WGT,05 Jun 2023,21690.05,21708.20,21639.15,21650.35
1,NIFTY50 EQL WGT,02 Jun 2023,21585.20,21621.90,21518.60,21599.6
2,NIFTY50 EQL WGT,01 Jun 2023,21517.10,21559.60,21474.85,21499.3
3,NIFTY50 EQL WGT,31 May 2023,21517.80,21540.50,21446.40,21498.0
4,NIFTY50 EQL WGT,30 May 2023,21557.95,21596.30,21502.60,21529.4
5,NIFTY50 EQL WGT,29 May 2023,21540.15,21572.35,21488.20,21536.7
6,NIFTY50 EQL WGT,26 May 2023,21290.95,21441.65,21270.70,21428.85
7,NIFTY50 EQL WGT,25 May 2023,21169.95,21277.05,21114.00,21252.15
8,NIFTY50 EQL WGT,24 May 2023,21191.90,21271.70,21125.50,21185.4
9,NIFTY50 EQL WGT,23 May 2023,21152.45,21295.75,21143.45,21213.8
10,NIFTY50 EQL WGT,22 May 2023,20886.35,21113.25,20845.60,21098.05
11,NIFTY50 EQL WGT,19 May 2023,20869.50,20885.70,20699.35,20870.35
12,NIFTY50 EQL WGT,18 May 2023,21057.55,21057.55,20800.00,20817.35
13,NIFTY50 EQL WGT,17 May 2023,21051.80,21061.10,20868.75,20943.75
14,NIFTY50 EQL WGT,16 May 2023,21168.00,21171.30,21012.20,21033.35
15,NIFTY50 EQL WGT,15 May 2023,21059.75,21161.55,21016.80,21108.0
16,NIFTY50 EQL WGT,12 May 2023,21077.35,21077.35,20950.45,21032.35
17,NIFTY50 EQL WGT,11 May 2023,21100.70,21111.10,21026.30,21067.25
18,NIFTY50 EQL WGT,10 May 2023,21065.30,21080.90,20953.80,21068.45
19,NIFTY50 EQL WGT,09 May 2023,21036.95,21100.40,20951.20,20999.3
20,NIFTY50 EQL WGT,08 May 2023,20823.45,21012.45,20806.35,20991.45
21,NIFTY50 EQL WGT,05 May 2023,20840.70,20929.90,20758.60,20770.8
22,NIFTY50 EQL WGT,04 May 2023,20715.45,20877.05,20695.05,20867.6
23,NIFTY50 EQL WGT,03 May 2023,20758.70,20777.10,20654.40,20713.8
24,NIFTY50 EQL WGT,02 May 2023,20736.70,20830.20,20716.90,20797.55
25,NIFTY50 EQL WGT,28 Apr 2023,20536.90,20707.10,20475.70,20678.65
26,NIFTY50 EQL WGT,27 Apr 2023,20374.60,20501.60,20343.30,20481.85
27,NIFTY50 EQL WGT,26 Apr 2023,20304.50,20378.70,20263.40,20363.9
